ชื่อไฟล์,ชื่อคอลัมน์,ความหมาย,ชนิดข้อมูล,หน่วย,วิธีคำนวณหรือที่มา
asset_group_summary_2567.csv,ไฟล์ต้นทาง,ชื่อไฟล์ PDF ต้นทาง,ข้อความ,-,ชื่อไฟล์จริงในโฟลเดอร์ต้นทาง
asset_register_2567.csv,รหัสสินทรัพย์,เลขที่สินทรัพย์หลัก 12 หลัก ต้องเก็บเป็นข้อความ,ข้อความ,-,คอลัมน์แรกของรายงาน
asset_register_2567.csv,เลขที่ย่อย,เลขที่ย่อย 4 หลัก ต้องเก็บเป็นข้อความเพื่อรักษาศูนย์นำหน้า,ข้อความ,-,คอลัมน์ที่ 2 ของรายงาน
asset_register_2567.csv,รหัสสินทรัพย์เต็ม,รหัสสินทรัพย์ต่อด้วยเลขที่ย่อย ใช้เป็นคีย์รายบรรทัด,ข้อความ,-,รหัสสินทรัพย์ + เครื่องหมายขีด + เลขที่ย่อย
asset_register_2567.csv,วันที่โอนเป็นทุน_ต้นฉบับ,วันที่โอนเป็นทุนตามที่พิมพ์ วว.ดด.ปปปป,ข้อความ,วันที่ (พ.ศ.),คอลัมน์ที่ 3 ของรายงาน
asset_register_2567.csv,วันที่โอนเป็นทุน_พศ,วันที่โอนเป็นทุนรูปแบบเรียงลำดับได้,ข้อความ,ปี-เดือน-วัน (พ.ศ.),จัดรูปจากคอลัมน์ที่ 3
asset_register_2567.csv,วันที่โอนเป็นทุน_คศ,วันที่เดียวกันแปลงเป็นคริสต์ศักราช,วันที่,ปี-เดือน-วัน,ปีพุทธศักราช ลบ 543
asset_register_2567.csv,ปีที่โอนเป็นทุน_พศ,ปีที่โอนเป็นทุน,ข้อความ,พ.ศ.,ตัดจากวันที่โอนเป็นทุน
asset_register_2567.csv,เดือนที่โอนเป็นทุน,เดือนที่โอนเป็นทุน,ข้อความ,เดือน 01-12,ตัดจากวันที่โอนเป็นทุน
asset_register_2567.csv,ปีเดือนที่โอนเป็นทุน,ปีและเดือนที่โอนเป็นทุน,ข้อความ,ปปปป-ดด (พ.ศ.),ตัดจากวันที่โอนเป็นทุน
asset_register_2567.csv,อายุตั้งแต่โอนเป็นทุน_ปี,ระยะเวลาจากวันที่โอนเป็นทุนถึงวันที่ยอดข้อมูล,ตัวเลข,ปี,จำนวนวัน หารด้วย 365.25
asset_register_2567.csv,คำอธิบายของสินทรัพย์,คำอธิบายสินทรัพย์ตามที่พิมพ์ในรายงาน,ข้อความ,-,คอลัมน์คำอธิบาย
asset_register_2567.csv,มูลค่าการได้มา,ราคาที่ได้มาตามบัญชี,ตัวเลข,บาท,คอลัมน์มูลค่าการได้มา
asset_register_2567.csv,ค่าเสื่อมราคาสะสม,ค่าเสื่อมราคาสะสม เก็บเครื่องหมายลบตามต้นฉบับ,ตัวเลข,บาท,คอลัมน์ค่าเสื่อมราคาสะสม
asset_register_2567.csv,มูลค่าตามบัญชี,มูลค่าคงเหลือตามบัญชี,ตัวเลข,บาท,คอลัมน์มูลค่าตามบัญชี ตรวจแล้วว่า = มูลค่าการได้มา + ค่าเสื่อมราคาสะสม
asset_register_2567.csv,สัดส่วนค่าเสื่อมสะสม_ร้อยละ,สัดส่วนค่าเสื่อมสะสมต่อมูลค่าการได้มา,ตัวเลข,ร้อยละ,ค่าสัมบูรณ์ของค่าเสื่อมสะสม หารด้วย มูลค่าการได้มา คูณ 100
asset_register_2567.csv,รหัสหมวดสินทรัพย์,รหัสหมวดสินทรัพย์ 8 หลัก,ข้อความ,-,บรรทัดหมวดสินทรัพย์ในรายงาน
asset_register_2567.csv,ชื่อหมวดสินทรัพย์,ชื่อหมวดตามที่พิมพ์ในรายงาน,ข้อความ,-,บรรทัดหมวดสินทรัพย์ในรายงาน
asset_register_2567.csv,รหัสพื้นที่,รหัสพื้นที่ 4 หลัก,ข้อความ,-,บรรทัดรหัสพื้นที่ในรายงาน
asset_register_2567.csv,ชื่อพื้นที่,ชื่อพื้นที่ตามที่พิมพ์ในรายงาน,ข้อความ,-,บรรทัดรหัสพื้นที่ในรายงาน
asset_register_2567.csv,รหัสศูนย์ต้นทุน,รหัสศูนย์ต้นทุน 10 หลัก,ข้อความ,-,บรรทัดรหัสศูนย์ต้นทุนในรายงาน
asset_register_2567.csv,ชื่อศูนย์ต้นทุน,ชื่อศูนย์ต้นทุนตามที่พิมพ์ในรายงาน,ข้อความ,-,บรรทัดรหัสศูนย์ต้นทุนในรายงาน
asset_register_2567.csv,วันที่ยอดข้อมูล,วันที่ที่ยอดในเอกสารสะท้อน,วันที่,ปี-เดือน-วัน (พ.ศ.),จากหัวรายงาน
asset_register_2567.csv,รหัสเอกสาร,รหัสเอกสารต้นทางตาม source_documents.csv,ข้อความ,-,กำหนดในชุดข้อมูลนี้
asset_register_2567.csv,ไฟล์ต้นทาง,ชื่อไฟล์ PDF ต้นทาง,ข้อความ,-,ชื่อไฟล์จริงในโฟลเดอร์ต้นทาง
asset_register_2567.csv,หน้าอ้างอิง,เลขหน้าใน PDF ต้นทางที่ใช้ตรวจย้อนกลับ,จำนวนเต็ม,หน้า,จากลำดับหน้าที่สกัด
asset_register_2567.csv,รหัสแถว,รหัสอ้างอิงแถวในไฟล์นี้,ข้อความ,-,สร้างจากปีหรือลำดับแถว
asset_review_candidates.csv,รหัสสินทรัพย์,เลขที่สินทรัพย์หลัก 12 หลัก ต้องนำเข้าเป็นข้อความ,ข้อความ,-,คอลัมน์แรกของรายงาน
asset_review_candidates.csv,เลขที่ย่อย,เลขที่ย่อย 4 หลัก ต้องนำเข้าเป็นข้อความเพื่อรักษาศูนย์นำหน้า,ข้อความ,-,คอลัมน์ที่ 2
asset_review_candidates.csv,รหัสสินทรัพย์เต็ม,รหัสสินทรัพย์ต่อด้วยเลขที่ย่อย ใช้เป็นคีย์รายบรรทัด,ข้อความ,-,ต่อสองคอลัมน์ด้วยขีด
asset_review_candidates.csv,คำอธิบายของสินทรัพย์,คำอธิบายสินทรัพย์ตามที่พิมพ์ในรายงาน,ข้อความ,-,คอลัมน์คำอธิบาย
asset_review_candidates.csv,มูลค่าการได้มา,ราคาที่ได้มาตามบัญชี,ตัวเลข,บาท,คอลัมน์มูลค่าการได้มา
asset_review_candidates.csv,ค่าเสื่อมราคาสะสม,ค่าเสื่อมราคาสะสม เก็บเครื่องหมายลบตามต้นฉบับ,ตัวเลข,บาท,คอลัมน์ค่าเสื่อมราคาสะสม
asset_review_candidates.csv,มูลค่าตามบัญชี,มูลค่าคงเหลือตามบัญชี,ตัวเลข,บาท,ตรวจแล้วเท่ากับ มูลค่าการได้มา บวก ค่าเสื่อมราคาสะสม
asset_review_candidates.csv,สัดส่วนค่าเสื่อมสะสม_ร้อยละ,สัดส่วนค่าเสื่อมสะสมต่อมูลค่าการได้มา,ตัวเลข,ร้อยละ,ค่าสัมบูรณ์ของค่าเสื่อม หารด้วย มูลค่าการได้มา คูณ 100
asset_review_candidates.csv,วันที่โอนเป็นทุน_ต้นฉบับ,วันที่โอนเป็นทุนตามที่พิมพ์ วว.ดด.ปปปป,ข้อความ,วันที่ (พ.ศ.),คอลัมน์ที่ 3
asset_review_candidates.csv,วันที่โอนเป็นทุน_พศ,วันที่โอนเป็นทุนรูปแบบเรียงลำดับได้,ข้อความ,ปี-เดือน-วัน (พ.ศ.),จัดรูปจากคอลัมน์ที่ 3
asset_review_candidates.csv,อายุตั้งแต่โอนเป็นทุน_ปี,ระยะเวลาจากวันที่โอนเป็นทุนถึงวันที่ยอดข้อมูล,ตัวเลข,ปี,จำนวนวัน หารด้วย 365.25
asset_review_candidates.csv,เหตุผลที่คัดเลือก,เงื่อนไขที่ทำให้รายการถูกคัดมาตรวจสอบเพิ่ม,ข้อความ,-,มูลค่าเหลือไม่เกิน 1 บาท หรือค่าเสื่อมสะสมตั้งแต่ร้อยละ 95 หรืออยู่ใน 500 อันดับมูลค่าสูงสุด หรืออายุตั้งแต่ 15 ปี
asset_review_candidates.csv,จำนวนเงื่อนไขที่เข้าเกณฑ์,จำนวนเงื่อนไขคัดกรองที่รายการนี้เข้าข่าย,จำนวนเต็ม,เงื่อนไข,นับจากคอลัมน์เหตุผลที่คัดเลือก
asset_review_candidates.csv,ระดับความสำคัญเบื้องต้น,จัดลำดับจากจำนวนเงื่อนไขที่เข้าเกณฑ์,ข้อความ,-,เข้าเกณฑ์ 3 ข้อขึ้นไปเป็นสูง 2 ข้อเป็นปานกลาง 1 ข้อเป็นต่ำ
asset_review_candidates.csv,รหัสหมวดสินทรัพย์,รหัสหมวดสินทรัพย์ 8 หลัก,ข้อความ,-,บรรทัดหมวดสินทรัพย์ในรายงาน
asset_review_candidates.csv,ชื่อหมวดสินทรัพย์,ชื่อหมวดตามที่พิมพ์ในรายงาน,ข้อความ,-,บรรทัดหมวดสินทรัพย์ในรายงาน
asset_review_candidates.csv,รหัสพื้นที่,รหัสพื้นที่ 4 หลัก,ข้อความ,-,บรรทัดรหัสพื้นที่ในรายงาน
asset_review_candidates.csv,ชื่อพื้นที่,ชื่อพื้นที่ตามที่พิมพ์ในรายงาน,ข้อความ,-,บรรทัดรหัสพื้นที่ในรายงาน
asset_review_candidates.csv,รหัสศูนย์ต้นทุน,รหัสศูนย์ต้นทุน 10 หลัก,ข้อความ,-,บรรทัดรหัสศูนย์ต้นทุนในรายงาน
asset_review_candidates.csv,ชื่อศูนย์ต้นทุน,ชื่อศูนย์ต้นทุนตามที่พิมพ์ในรายงาน,ข้อความ,-,บรรทัดรหัสศูนย์ต้นทุนในรายงาน
asset_review_candidates.csv,ข้อจำกัดในการตีความ,คำเตือนว่ารายการนี้ยังไม่ยืนยันสภาพการใช้งาน,ข้อความ,-,ข้อความคงที่
asset_review_candidates.csv,วันที่ยอดข้อมูล,วันที่ที่ยอดในเอกสารสะท้อน,วันที่,ปี-เดือน-วัน (พ.ศ.),จากหัวรายงาน
asset_review_candidates.csv,รหัสเอกสาร,รหัสเอกสารต้นทางตาม source_documents.csv,ข้อความ,-,กำหนดในชุดข้อมูลนี้
asset_review_candidates.csv,ไฟล์ต้นทาง,ชื่อไฟล์ PDF ต้นทาง,ข้อความ,-,ชื่อไฟล์จริงในโฟลเดอร์ต้นทาง
asset_review_candidates.csv,หน้าอ้างอิง,เลขหน้าใน PDF ต้นทางที่ใช้ตรวจย้อนกลับ,จำนวนเต็ม,หน้า,จากลำดับหน้าที่สกัด
asset_review_candidates.csv,รหัสแถวใน_asset_register,รหัสแถวที่อ้างถึงใน asset_register_2567.csv,ข้อความ,-,คีย์เชื่อมไฟล์
budget_annual_summary.csv,ปีงบประมาณ,ปีงบประมาณไทย,ข้อความ,พ.ศ.,จากหัวรายงานและชื่อไฟล์
budget_annual_summary.csv,ปีคริสต์ศักราช,ปีเดียวกันในคริสต์ศักราช,จำนวนเต็ม,ค.ศ.,ปีพุทธศักราช ลบ 543
budget_annual_summary.csv,วันที่ตัดยอด,วันที่ตัดยอดที่ระบุใต้หัวรายงาน,วันที่,ปี-เดือน-วัน (พ.ศ.),"จากบรรทัด ""ณ ..."""
budget_annual_summary.csv,วันที่ตัดยอด_ไทย,วันที่ตัดยอดตามรูปแบบที่พิมพ์ในเอกสาร,ข้อความ,-,"คัดจากบรรทัด ""ณ ..."""
budget_annual_summary.csv,จัดสรรรวม,ยอดจัดสรรรวมทั้งปี,ตัวเลข,บาท,แถวรวมทั้งสิ้นของเอกสาร
budget_annual_summary.csv,รวมเบิกจ่ายและผูกพันรวม,ยอดเบิกจ่ายรวมทั้งปี,ตัวเลข,บาท,แถวรวมทั้งสิ้นของเอกสาร
budget_annual_summary.csv,คงเหลือรวม,ยอดคงเหลือรวมทั้งปี,ตัวเลข,บาท,แถวรวมทั้งสิ้นของเอกสาร
budget_annual_summary.csv,อัตราเบิกจ่าย_ร้อยละ,สัดส่วนเบิกจ่ายต่อจัดสรร,ตัวเลข,ร้อยละ,รวมเบิกจ่ายและผูกพัน หารด้วย จัดสรร คูณ 100
budget_annual_summary.csv,จำนวนแถวทั้งหมด,จำนวนแถวที่สกัดได้จากเอกสารปีนั้น,จำนวนเต็ม,แถว,นับจาก budget_items
budget_annual_summary.csv,จำนวนแถวประเภทรายการ,จำนวนแถวที่เป็นรายการ ไม่นับแถวสรุป,จำนวนเต็ม,แถว,นับจาก budget_items
budget_annual_summary.csv,จำนวนแผนงาน,จำนวนแผนงานในปีนั้น,จำนวนเต็ม,แผนงาน,นับแถวประเภทแผนงาน
budget_annual_summary.csv,รหัสเอกสาร,รหัสเอกสารต้นทางตาม source_documents.csv,ข้อความ,-,กำหนดในชุดข้อมูลนี้
budget_annual_summary.csv,ไฟล์ต้นทาง,ชื่อไฟล์ PDF ต้นทาง,ข้อความ,-,ชื่อไฟล์จริงในโฟลเดอร์ต้นทาง
budget_annual_summary.csv,หน้าอ้างอิง,เลขหน้าใน PDF ต้นทางที่ใช้ตรวจย้อนกลับ,จำนวนเต็ม,หน้า,จากลำดับหน้าที่สกัด
budget_category_summary.csv,ปีงบประมาณ,ปีงบประมาณไทย,ข้อความ,พ.ศ.,จากหัวรายงานและชื่อไฟล์
budget_category_summary.csv,วันที่รายงาน,วันที่ตัดยอดที่ระบุใต้หัวรายงาน,วันที่,ปี-เดือน-วัน (พ.ศ.),"จากบรรทัด ""ณ ..."""
budget_category_summary.csv,ระดับสรุป,ระดับของแถวสรุป เช่น แผนงาน หมวดงบรายจ่าย,ข้อความ,-,จากประเภทแถวใน budget_items
budget_category_summary.csv,ระดับชั้น,ความลึกในโครงสร้าง 0 คือยอดรวมทั้งสิ้น,จำนวนเต็ม,ระดับ,คำนวณจากการเยื้องซ้ายและเลขลำดับ
budget_category_summary.csv,แผนงาน,แผนงานระดับบนสุด,ข้อความ,-,"แถวที่ขึ้นต้นด้วย ""แผนงาน"""
budget_category_summary.csv,กลุ่มรายจ่าย,โครงการต่อเนื่อง หรือ รายจ่ายเพื่อบริหารงานประจำ,ข้อความ,-,แถวกลุ่มใต้แผนงาน
budget_category_summary.csv,หมวดงบรายจ่าย,งบบุคลากร งบดำเนินงาน งบลงทุน งบเงินอุดหนุน งบรายจ่ายอื่น,ข้อความ,-,"แถวที่ขึ้นต้นด้วย ""งบ"""
budget_category_summary.csv,หมวดค่าใช้จ่าย,หมวดย่อย เช่น ค่าตอบแทน ค่าใช้สอย ค่าวัสดุ,ข้อความ,-,แถวที่ขึ้นต้นด้วยขีด
budget_category_summary.csv,ชื่อกลุ่ม,ชื่อแถวสรุปตามที่พิมพ์ในเอกสาร,ข้อความ,-,ข้อความในคอลัมน์แรกของตาราง
budget_category_summary.csv,จัดสรร,งบที่ได้รับจัดสรร,ตัวเลข,บาท,คอลัมน์ที่ 1 ของตาราง
budget_category_summary.csv,รวมเบิกจ่ายและผูกพัน,ยอดเบิกจ่ายรวมภาระผูกพัน,ตัวเลข,บาท,คอลัมน์ที่ 2 ของตาราง
budget_category_summary.csv,คงเหลือ,ยอดคงเหลือตามที่พิมพ์ ไม่ได้คำนวณใหม่,ตัวเลข,บาท,คอลัมน์ที่ 3 ของตาราง
budget_category_summary.csv,จำนวนรายการย่อยสุดภายใต้กลุ่ม,จำนวนรายการย่อยสุดที่อยู่ใต้กลุ่มนี้,จำนวนเต็ม,รายการ,นับจากโครงสร้างใน budget_items
budget_category_summary.csv,รหัสเอกสาร,รหัสเอกสารต้นทางตาม source_documents.csv,ข้อความ,-,กำหนดในชุดข้อมูลนี้
budget_category_summary.csv,ไฟล์ต้นทาง,ชื่อไฟล์ PDF ต้นทาง,ข้อความ,-,ชื่อไฟล์จริงในโฟลเดอร์ต้นทาง
budget_category_summary.csv,หน้าอ้างอิง,เลขหน้าใน PDF ต้นทางที่ใช้ตรวจย้อนกลับ,จำนวนเต็ม,หน้า,จากลำดับหน้าที่สกัด
budget_items.csv,ปีงบประมาณ,ปีงบประมาณไทยของเอกสารต้นทาง,ข้อความ,พ.ศ.,จากชื่อไฟล์และหัวรายงาน
budget_items.csv,วันที่รายงาน,วันที่ตัดยอดที่ระบุใต้หัวรายงาน,วันที่,ปี-เดือน-วัน (พ.ศ.),"จากบรรทัด ""ณ ..."" ในหน้าแรก"
budget_items.csv,วันที่รายงาน_ไทย,วันที่ตัดยอดตามรูปแบบที่พิมพ์ในเอกสาร,ข้อความ,-,"คัดจากบรรทัด ""ณ ..."""
budget_items.csv,แผนงาน,แผนงานระดับบนสุด,ข้อความ,-,"แถวที่ขึ้นต้นด้วย ""แผนงาน"""
budget_items.csv,กลุ่มรายจ่าย,โครงการต่อเนื่อง หรือ รายจ่ายเพื่อบริหารงานประจำ,ข้อความ,-,แถวกลุ่มใต้แผนงาน
budget_items.csv,หมวดงบรายจ่าย,งบบุคลากร งบดำเนินงาน งบลงทุน งบเงินอุดหนุน งบรายจ่ายอื่น,ข้อความ,-,"แถวที่ขึ้นต้นด้วย ""งบ"""
budget_items.csv,หมวดค่าใช้จ่าย,หมวดย่อย เช่น ค่าตอบแทน ค่าใช้สอย ค่าวัสดุ ค่าสาธารณูปโภค,ข้อความ,-,แถวที่ขึ้นต้นด้วยเครื่องหมายขีด
budget_items.csv,ลำดับรายการ,เลขลำดับที่พิมพ์หน้ารายการ,ข้อความ,-,ตัดจากต้นชื่อรายการ
budget_items.csv,ลำดับรายการแม่,เส้นทางเลขลำดับของรายการแม่,ข้อความ,-,ต่อกันจากโครงสร้างชั้นข้อมูล
budget_items.csv,ระดับชั้น,ความลึกในโครงสร้าง 0 คือยอดรวมทั้งสิ้น,จำนวนเต็ม,ระดับ,คำนวณจากการเยื้องซ้ายและเลขลำดับในเอกสาร
budget_items.csv,ประเภทแถว,ระบุว่าแถวเป็นยอดสรุปหรือรายการ,ข้อความ,-,จำแนกจากรูปแบบข้อความในเอกสาร
budget_items.csv,ชื่อรายการ,ชื่อรายการตามที่พิมพ์ในเอกสาร รวมเลขลำดับ,ข้อความ,-,ข้อความในคอลัมน์แรกของตาราง
budget_items.csv,จัดสรร,งบที่ได้รับจัดสรร,ตัวเลข,บาท,คอลัมน์ที่ 1 ของตาราง
budget_items.csv,รวมเบิกจ่ายและผูกพัน,ยอดเบิกจ่ายรวมภาระผูกพัน,ตัวเลข,บาท,คอลัมน์ที่ 2 ของตาราง
budget_items.csv,คงเหลือ,ยอดคงเหลือตามที่พิมพ์ในเอกสาร,ตัวเลข,บาท,คอลัมน์ที่ 3 ของตาราง ไม่ได้คำนวณใหม่
budget_items.csv,เป็นรายการย่อยสุด,แถวนี้ไม่มีรายการย่อยอยู่ใต้,ข้อความ,ใช่/ไม่ใช่,คำนวณจากโครงสร้าง
budget_items.csv,เป็นแถวสรุป,แถวสรุปที่ห้ามนำไปบวกรวมกับรายการย่อย,ข้อความ,ใช่/ไม่ใช่,คำนวณจากประเภทแถว
budget_items.csv,คอลัมน์ที่ต้นฉบับแสดงขีด,คอลัมน์ที่เอกสารพิมพ์เครื่องหมายขีดแทนตัวเลข,ข้อความ,-,บันทึกไว้เพื่อไม่ให้เข้าใจผิดว่าเป็นศูนย์
budget_items.csv,รหัสเอกสาร,รหัสเอกสารต้นทางตาม source_documents.csv,ข้อความ,-,กำหนดในชุดข้อมูลนี้
budget_items.csv,ไฟล์ต้นทาง,ชื่อไฟล์ PDF ต้นทาง,ข้อความ,-,ชื่อไฟล์จริงในโฟลเดอร์ต้นทาง
budget_items.csv,หน้าอ้างอิง,เลขหน้าใน PDF ต้นทาง,จำนวนเต็ม,หน้า,จากลำดับหน้าที่สกัด
budget_items.csv,รหัสแถว,รหัสอ้างอิงแถวในไฟล์นี้,ข้อความ,-,สร้างจากปีหรือลำดับแถว
data_dictionary.csv,ชื่อไฟล์,ชื่อไฟล์ PDF ต้นทาง,ข้อความ,-,ชื่อไฟล์จริงในโฟลเดอร์ต้นทาง
data_dictionary.csv,ชื่อคอลัมน์,ชื่อคอลัมน์ในไฟล์นั้น,ข้อความ,-,จากหัวตารางของไฟล์
data_dictionary.csv,ความหมาย,คำอธิบายความหมายของคอลัมน์,ข้อความ,-,เขียนขึ้นในชุดข้อมูลนี้
