รหัสกลาง_ก,ชื่อ_ก,ปีที่พบ_ก,รหัสกลาง_ข,ชื่อ_ข,ปีที่พบ_ข,ค่าความคล้าย_ร้อยละ,ความต่างของชื่อ,การตัดสิน,ชื่อที่ใช้หลังรวม,ผู้ตัดสิน,วันที่ตัดสิน,เหตุผล
ITM-0036,ค่าจ้างบำรุงรักษาระบบจ่ายประโยชน์ทดแทนค่าบริการทางการแพทย์ กรณีเจ็บป่วยฉุกเฉินวิกฤต (UCEP),2566 | 2567,ITM-0037,ค่าจ้างบำรุงรักษาระบบจ่ายประโยชยน์ทดแทนค่าบริการทางการแพทย์ กรณีเจ็บป่วยฉุกเฉินวิกฤต (UCEP),2564 | 2565,99.4,(ว่าง) -> ย,รวม,ค่าจ้างบำรุงรักษาระบบจ่ายประโยชน์ทดแทนค่าบริการทางการแพทย์ กรณีเจ็บป่วยฉุกเฉินวิกฤต (UCEP),Claude (AI) ตามเกณฑ์ที่เจ้าของโครงการอนุมัติ,2026-09-18,สะกดผิด ประโยชยน์ ควรเป็น ประโยชน์ ปีไม่ทับกัน
ITM-0104,ค่าตอบแทนพิเศษรายเดือนให้แก่เจ้าหน้าที่ผู้ปฏิบัติงานในจังหวัด ชายแดนภาคใต้,2563,ITM-0105,ค่าตอบแทนพิเศษรายเดือนให้แก่เจ้าหน้าที่ผู้ปฏิบัติงานในพื้นที่จังหวัด ชายแดนภาคใต้,2564 | 2565 | 2566 | 2567,95.4,(ว่าง) -> พื้นที่,รวม,ค่าตอบแทนพิเศษรายเดือนให้แก่เจ้าหน้าที่ผู้ปฏิบัติงานในพื้นที่จังหวัด ชายแดนภาคใต้,Claude (AI) ตามเกณฑ์ที่เจ้าของโครงการอนุมัติ,2026-09-18,ตกคำว่า พื้นที่ ความหมายเท่าเดิม ปีไม่ทับกัน
ITM-0117,ค่าธรรมเนียมกรณีขอรับเงินธนาณัติเป็นแคชเชียร์เช็ค สปส.กทม.พื้นที่/จังหวัด/สาขา,2567,ITM-0118,ค่าธรรมเนียมกรณีขอรับเงินธนาณัติเป็นแคชเชียร์เช็ค สปส.พื้นที่/จังหวัด/สาขา,2566,97.9,กทม. -> (ว่าง),รวม,ค่าธรรมเนียมกรณีขอรับเงินธนาณัติเป็นแคชเชียร์เช็ค สปส.กทม.พื้นที่/จังหวัด/สาขา,Claude (AI) ตามเกณฑ์ที่เจ้าของโครงการอนุมัติ,2026-09-18,ตกคำว่า กทม. สำนักงานพื้นที่มีเฉพาะใน กทม. อยู่แล้ว ปีไม่ทับกัน
ITM-0127,ค่าธรรมเนียมบริการรับ - ส่งเงินของ KGS,2563 | 2564 | 2565 | 2566,ITM-0128,ค่าธรรมเนียมบริการรับ - ส่งเงินของ KTBGS,2567,97.1,(ว่าง) -> TB,รวม,ค่าธรรมเนียมบริการรับ - ส่งเงินของ KTBGS,Claude (AI) ตามเกณฑ์ที่เจ้าของโครงการอนุมัติ,2026-09-18,ตกตัวอักษร KGS ควรเป็น KTBGS ปีไม่ทับกัน
ITM-0157,ค่าใช้จ่ายสนับสนุนการเข้าร่วมประชุมหรือฝึกอบรมของเจ้าหน้าที่และผู้ที่เกี่ยวข้อง ณ ต่างประเทศ,2563,ITM-0158,ค่าใช้จ่ายสนับสนุนการเข้าร่วมประชุมหรือฝึกอบรมของเจ้าหน้าที่และผู้ที่เกี่ยวข้อง ในต่างประเทศ,2565,98.3,ณ  -> ใน,รวม,,Claude (AI) ตามเกณฑ์ที่เจ้าของโครงการอนุมัติ,2026-09-18,ณ ต่างประเทศ กับ ในต่างประเทศ ความหมายเดียวกัน ปีไม่ทับกัน
ITM-0170,ค่าใช้จ่ายในการประชุม สัมมนา ฝึกอบรมและเจรจาธุรกิจของข้าราชการ เจ้าหน้าที่ และผู้ที่เกี่ยวข้อง,2565,ITM-0171,ค่าใช้จ่ายในการประชุม สัมมนา ฝึกอบรม และเจรจาธุรกิจของข้าราชการ เจ้าหน้าที่และผู้ที่เกี่ยวข้อง ณ ต่างประเทศ,2563 | 2566 | 2567,94.2,(ว่าง) ->   ;   -> (ว่าง) ; (ว่าง) ->  ณ ต่างประเทศ,,,,,
ITM-0174,ค่าใช้จ่ายในการหารือ แลกเปลี่ยนนโยบายและประสบการณ์ด้านการประกันสังคม ของคณะกรรมการ คณะอนุกรรมการ เจ้าหน้าที่และผู้ที่เกี่ยวข้อง,2563,ITM-0175,ค่าใช้จ่ายในการหารือ แลกเปลี่ยนนโยบายและประสบการณ์ด้านการประกันสังคม ของคณะกรรมการ อนุกรรมการ เจ้าหน้าที่และผู้ที่เกี่ยวข้อง ณ ต่างประเทศ,2565,94.5,คณะ -> (ว่าง) ; (ว่าง) ->  ณ ต่างประเทศ,,,,,
ITM-0188,งานก่อสร้างอาคารสำนักงานประกันสังคมจังหวัดระยอง สาขาปลวกแดง,2564,ITM-0259,โครงการก่อสร้างอาคารสำนักงานประกันสังคมจังหวัดระยอง สาขาปลวกแดง,2565,95.0,(ว่าง) -> โคร ; (ว่าง) -> ก ; น -> ร,รวม,ก่อสร้างอาคารสำนักงานประกันสังคมจังหวัดระยอง สาขาปลวกแดง,Claude (AI) ตามเกณฑ์ที่เจ้าของโครงการอนุมัติ,2026-09-18,อาคารเดียวกัน ต่างแค่คำนำหน้า งาน/โครงการ ปีไม่ทับกัน
ITM-0192,จัดนิทรรศการวัรแงงานแห่งชาติ,2563 | 2564 | 2565,ITM-0194,จ้างจัดนิทรรศการวัรแงงานแห่งชาติ,2566,93.3,(ว่าง) -> จ้าง,รวม,จ้างจัดนิทรรศการวันแรงงานแห่งชาติ,Claude (AI) ตามเกณฑ์ที่เจ้าของโครงการอนุมัติ,2026-09-18,ตกคำว่า จ้าง หน้าชื่อ ปีไม่ทับกัน
ITM-0193,จ้างจัดนิทรรศการวันแรงงานแห่งชาติ,2567,ITM-0194,จ้างจัดนิทรรศการวัรแงงานแห่งชาติ,2566,95.4,น -> ร ; ร -> (ว่าง),รวม,จ้างจัดนิทรรศการวันแรงงานแห่งชาติ,Claude (AI) ตามเกณฑ์ที่เจ้าของโครงการอนุมัติ,2026-09-18,สะกดผิด วัรแงงาน ควรเป็น วันแรงงาน ปีไม่ทับกัน
ITM-0200,ประชุมเชิงปฏิบัติการบริหารจัดการความเสี่ยงด้านงานประโยชน์ทดแทน,2564,ITM-0384,โครงการประชุมเชิงปฏิบัติการบริหารจัดการความเสี่ยงด้านงานประโยชน์ทดแทน,2563 | 2565 | 2566 | 2567,94.7,(ว่าง) -> โครงการ,รวม,โครงการประชุมเชิงปฏิบัติการบริหารจัดการความเสี่ยงด้านงานประโยชน์ทดแทน,Claude (AI) ตามเกณฑ์ที่เจ้าของโครงการอนุมัติ,2026-09-18,ตกคำว่า โครงการ หน้าชื่อ ปีไม่ทับกัน
ITM-0227,อบรมเชิงปฏิบัติการเพื่อการเพิ่มประสิทธิภาพงานวินิจฉัยประโยชน์ทดแทน,2564,ITM-0489,โครงการอบรมเชิงปฏิบัติการเพื่อการเพิ่มประสิทธิภาพงานวินิจฉัยประโยชน์ทดแทน,2563 | 2565 | 2566 | 2567,95.0,(ว่าง) -> โครงการ,รวม,โครงการอบรมเชิงปฏิบัติการเพื่อการเพิ่มประสิทธิภาพงานวินิจฉัยประโยชน์ทดแทน,Claude (AI) ตามเกณฑ์ที่เจ้าของโครงการอนุมัติ,2026-09-18,ตกคำว่า โครงการ หน้าชื่อ ปีไม่ทับกัน
ITM-0233,เงินประกันภัยแก่ข้าราชการ ลูกจ้างประจำ และพนักงานสำนักงาน ประกันสังคมที่ปฏิบัติงานประจำในพื้นที่ 3 จังหวัดชายแดนภาคใต้,2564 | 2565 | 2566 | 2567,ITM-0234,เงินประกันภัยแก่ข้าราชการ ลูกจ้างประจำ และพนักงานสำนักงาน ประกันสังคมที่ปฏิบัติงานประจำในพื้นที่ 4 จังหวัดชายแดนภาคใต้,2563,99.1,3 -> 4,,,,,
ITM-0251,โครงการ Service Smart Smile (3S)การพัฒนาศักยภาพเจ้าหน้าที่ผู้ปฏิบัติงาน ด้านบริการ,2565,ITM-0252,โครงการ Service Smart Smile (3S) พัฒนาศักยภาพเจ้าหน้าที่ผู้ปฏิบัติงาน ด้านบริการ,2566 | 2567,98.0,การ ->  ,รวม,โครงการ Service Smart Smile (3S) พัฒนาศักยภาพเจ้าหน้าที่ผู้ปฏิบัติงาน ด้านบริการ,Claude (AI) ตามเกณฑ์ที่เจ้าของโครงการอนุมัติ,2026-09-18,ต่างแค่คำว่า การ กับช่องว่าง ปีไม่ทับกัน
ITM-0270,โครงการจัดจ้างที่ปรึกษาวิเคราะห์การปรับเปลี่ยนระบบโปรแกรมบริหารการลงทุน,2563,ITM-0323,โครงการจ้างที่ปรึกษาวิเคราะห์การปรับเปลี่ยนระบบโปรแกรมบริหารการลงทุน,2565 | 2566 | 2567,97.8,จัด -> (ว่าง),รวม,โครงการจ้างที่ปรึกษาวิเคราะห์การปรับเปลี่ยนระบบโปรแกรมบริหารการลงทุน,Claude (AI) ตามเกณฑ์ที่เจ้าของโครงการอนุมัติ,2026-09-18,จัดจ้าง กับ จ้าง ความหมายเดียวกัน ปีไม่ทับกัน
ITM-0359,โครงการบริการส่งข้อความสั้นทางโทรศัพท์มือถือ Short Message Service (SMS),2563 | 2564,ITM-0360,โครงการบริการส่งข้อความสั้นทางโทรศัพท์มือถือ short Message Service (SMS),2566 | 2567,98.5,S -> s,รวม,โครงการบริการส่งข้อความสั้นทางโทรศัพท์มือถือ Short Message Service (SMS),Claude (AI) ตามเกณฑ์ที่เจ้าของโครงการอนุมัติ,2026-09-18,ต่างแค่ตัวพิมพ์ใหญ่เล็ก Short/short ปีไม่ทับกัน
ITM-0359,โครงการบริการส่งข้อความสั้นทางโทรศัพท์มือถือ Short Message Service (SMS),2563 | 2564,ITM-0361,โครงการบริการส่งข้อความสั้นทางโทรศัพท์มือถือ short Message Service (SMS) (มค. - มีค.66),2566,98.5,S -> s ; (ว่าง) ->  (มค. - มีค.66),,,,,
ITM-0359,โครงการบริการส่งข้อความสั้นทางโทรศัพท์มือถือ Short Message Service (SMS),2563 | 2564,ITM-0362,โครงการบริการส่งข้อความสั้นทางโทรศัพท์มือถือ short Message Service (SMS) (เมย. - ธค.66),2566,98.5,S -> s ; (ว่าง) ->  (เมย. - ธค.66),,,,,
ITM-0424,โครงการพัฒนาการให้บริการดิจิทัลระบบสารสนเทศเพื่อการบูรณาการงานกองทุน,2566,ITM-0425,โครงการพัฒนาการให้บริการระบบสารสนเทศเพื่อการบูรณาการงานกองทุน,2567,94.6,ดิจิทัล -> (ว่าง),,,,,
ITM-0441,โครงการพัฒนาระบบโครงข่ายระบบสื่อสัญญาณและระบบเทคโนโลยีสารสนเทศ เพื่องานประกันสังคม,2563,ITM-0498,โครงการเช่าระบบโครงข่ายระบบสื่อสัญญาณาและระบบเทคโนโลยีสารสนเทศ เพื่องานประกันสังคม,2564,95.1,พัฒน -> เช่ ; (ว่าง) -> า,,,,,
