รหัสการตรวจ,ไฟล์หรือขอบเขต,รายการที่ตรวจ,ประเด็นตรวจสอบ,ค่าต้นฉบับหรือจำนวนที่พบ,ผลต่างหรือการจัดการ,รหัสเอกสาร,หน้าอ้างอิง,สถานะ,หมายเหตุ
QC-016,asset_register_2567.csv,รหัสสินทรัพย์ + เลขที่ย่อย,ตรวจรหัสซ้ำ,82021 คู่รหัส,ซ้ำ 0 คู่,DOC-AST-2567,ทุกหน้า,ผ่าน,รหัสสินทรัพย์เดียวกันมีได้หลายเลขที่ย่อย จึงต้องใช้สองคอลัมน์ร่วมกันเป็นคีย์
QC-017,asset_register_2567.csv,เลขที่ย่อย,ต้องนำเข้าเป็นข้อความเพื่อรักษาศูนย์นำหน้า,เช่น 0000 และ 0001,เก็บเป็นข้อความในไฟล์,DOC-AST-2567,ทุกหน้า,บันทึกไว้,ถ้าเปิดด้วยโปรแกรมตารางคำนวณโดยไม่กำหนดชนิดข้อความ ศูนย์นำหน้าจะหายและรวมรายการผิด
QC-018,organization_units.csv,ศูนย์ต้นทุนกับพื้นที่,ตรวจว่าศูนย์ต้นทุนหนึ่งผูกกับพื้นที่เดียว,112 ศูนย์ต้นทุน,ผูกหลายพื้นที่ 0 แห่ง,DOC-AST-2567,ทุกหน้า,ผ่าน,ความสัมพันธ์นี้ยืนยันได้จากรายงานฉบับนี้เท่านั้น
QC-019,ทั้งชุดข้อมูล,รายจ่ายกับสินทรัพย์,ยังเชื่อมรายโครงการโดยตรงไม่ได้,ไม่มีเลขสัญญาหรือใบสั่งซื้อร่วมกันในเอกสารทั้งสองชุด,ไม่จับคู่,DOC-BUD-2563..2567; DOC-AST-2567,ทุกหน้า,ข้อจำกัดที่ทราบ,ห้ามนำยอดรายจ่ายกับยอดมูลค่าสินทรัพย์มาบวกกัน และห้ามจับคู่ด้วยชื่อที่คล้ายกันเพียงอย่างเดียว
QC-020,asset_register_2567.csv,ขอบเขตข้อมูล,รายงานคงเหลือปีเดียวไม่ครอบคลุมประวัติซื้อและจำหน่าย,ยอดคงเหลือ ณ 30 กันยายน 2567,ไม่มีข้อมูลรายการที่จำหน่ายออกไปแล้ว,DOC-AST-2567,ทุกหน้า,ข้อจำกัดที่ทราบ,วันที่โอนเป็นทุนไม่จำเป็นต้องเป็นวันที่ซื้อหรือวันเริ่มใช้งานจริง
QC-021,asset_review_candidates.csv,มูลค่าตามบัญชี 1 บาท,มูลค่าเหลือ 1 บาท ไม่ได้แปลว่าชำรุด,59366 แถว,คัดไว้เพื่อตรวจสอบเพิ่ม,DOC-AST-2567,ทุกหน้า,ข้อจำกัดที่ทราบ,ต้องมีข้อมูลสภาพและการใช้งานจริงประกอบก่อนสรุปว่าควรเปลี่ยนหรือจำหน่าย
QC-022,asset_register_2567.csv,วันที่โอนเป็นทุน,วันที่โอนเป็นทุนกระจุกตัวอยู่ไม่กี่วัน ซึ่งเป็นลักษณะของการยกยอดเข้าระบบ,01.07.2563 = 31700 แถว; 01.10.2563 = 7999 แถว; 01.12.2563 = 7313 แถว,ปี 2563 รวม 58901 แถว จาก 82021 แถว,DOC-AST-2567,ทุกหน้า,ข้อจำกัดที่ทราบ,ห้ามใช้วันที่โอนเป็นทุนแทนวันที่จัดซื้อหรือวันเริ่มใช้งานจริง โดยเฉพาะกลุ่มที่โอนในปี 2563
QC-023,budget_items.csv,ทุกปี 2563-2567,ตรวจยอดรวมของแถวสรุปกับผลบวกของรายการย่อย คอลัมน์รวมเบิกจ่ายและผูกพัน,235 แถวสรุป,ตรงกัน 234 แถว ไม่ตรง 1 แถว,DOC-BUD-2563..2567,ทุกหน้า,ต้องตรวจสอบ,คอลัมน์จัดสรรตรงครบทุกแถว ส่วนที่ไม่ตรงในคอลัมน์นี้เป็นความไม่สอดคล้องของต้นฉบับ
QC-024,budget_items.csv,ทุกปี 2563-2567,ตรวจยอดรวมของแถวสรุปกับผลบวกของรายการย่อย คอลัมน์คงเหลือ,235 แถวสรุป,ตรงกัน 231 แถว ไม่ตรง 4 แถว,DOC-BUD-2563..2567,ทุกหน้า,ต้องตรวจสอบ,คอลัมน์จัดสรรตรงครบทุกแถว ส่วนที่ไม่ตรงในคอลัมน์นี้เป็นความไม่สอดคล้องของต้นฉบับ
QC-025,project_year_mapping.csv,การจับคู่ข้ามปี,การจับคู่ด้วยชื่อคล้ายกันยังไม่ใช่ข้อยุติ,เกณฑ์ความคล้ายตั้งแต่ร้อยละ 93,ต้องยืนยันด้วยคน,DOC-BUD-2563..2567,ทุกหน้า,ต้องตรวจสอบ,รหัสกลางรวมเฉพาะชื่อที่ตรงกันทุกตัวอักษร ส่วนชื่อคล้ายกันแจ้งไว้ในคอลัมน์แยกเพื่อไม่ให้เกิดการรวมผิดและนับซ้ำ
QC-026,budget_items.csv,แถวสรุปกับรายการย่อย,แถวสรุปถูกแยกด้วยคอลัมน์เป็นแถวสรุป,ทุกแถว,กรองด้วยคอลัมน์ เป็นแถวสรุป หรือ เป็นรายการย่อยสุด,DOC-BUD-2563..2567,ทุกหน้า,ผ่าน,ป้องกันการนับมูลค่าซ้ำเมื่อทำแดชบอร์ด
QC-027,asset_register_2567.csv; asset_review_candidates.csv,คำอธิบายของสินทรัพย์,สระอำที่ตามหลังวรรณยุกต์ถูกแปลงผิดตอนซ่อมข้อความไทยจาก PDF,ต้นฉบับพิมพ์ ช่องว่าง+วรรณยุกต์+อำ 2659 จุดใน 306 หน้า และ ช่องว่าง+วรรณยุกต์+ช่องว่าง+อำ 74 จุดใน 17 หน้า,แก้ฟังก์ชัน fix_assets ใน scripts/thaifix.py แล้ว กระทบ 2114 แถวใน asset_register_2567.csv และ 1788 แถวใน asset_review_candidates.csv,DOC-AST-2567,8; 14; 57; 58; 460; 1002,แก้สคริปต์แล้ว ต้องสร้าง CSV ใหม่,ไฟล์ CSV ชุดปัจจุบันสร้างก่อนการแก้ จึงยังมีรูปคำผิด เช่น น้าเงิน แทน น้ำเงิน และ เป่ำลม แทน เป่าลม กระทบเฉพาะการค้นหาและจัดกลุ่มด้วยข้อความ ตัวเลขทุกคอลัมน์ไม่เปลี่ยน
QC-028,budget_annual_summary.csv,วันที่ตัดยอด 2563-2567,ระยะห่างจากสิ้นปีงบประมาณถึงวันตัดยอดไม่เท่ากัน อัตราเบิกจ่ายจึงเทียบข้ามปีโดยตรงไม่ได้,ปี 2563 และ 2564 ห่าง 4 เดือน ปี 2565 ห่าง 3 เดือน ปี 2566 ห่าง 5 เดือน ปี 2567 ห่าง 1 เดือน,อัตราเบิกจ่ายปี 2567 ร้อยละ 78.84 เทียบกับร้อยละ 89.46 ถึง 96.45 ของปีอื่น,DOC-BUD-2563..2567,1,ข้อจำกัดที่ทราบ,ต้องแสดงวันที่ตัดยอดกำกับทุกครั้งที่เปรียบเทียบอัตราเบิกจ่ายข้ามปี ห้ามสรุปว่าปี 2567 เบิกจ่ายต่ำกว่าปีอื่นจากตัวเลขนี้เพียงอย่างเดียว
